,media_c0,delta_c0,media_c1,delta_c1,media_c2,delta_c2,media_poblacional
edad,38.9109,1.2909,27.3351,-10.2848,44.9863,7.3664,37.62
cant_vuelos,32.227,18.0129,9.495,-4.7191,12.8372,-1.3769,14.2141
gasto_acumulado,10886.0267,6985.2064,2227.207,-1673.6132,3249.5017,-651.3186,3900.8203
cantidad_millas,10480.9097,8061.0044,1097.3493,-1322.5561,1211.3584,-1208.5469,2419.9053
ingreso_mensual,4023.649,1626.1188,1491.9515,-905.5787,2633.1466,235.6164,2397.5301
anticipacion_compra_promedio,16.7551,-3.596,27.7974,7.4462,15.7446,-4.6065,20.3512
