,media_c0,delta_c0,media_c1,delta_c1,media_c2,delta_c2,media_poblacional
edad,37.3045,-0.3155,38.7288,1.1089,38.9778,1.3578,37.62
cant_vuelos,10.9924,-3.2217,22.1205,7.9064,33.983,19.7689,14.2141
gasto_acumulado,2730.663,-1170.1573,5750.9181,1850.0978,12845.4779,8944.6576,3900.8203
cantidad_millas,361.2528,-2058.6525,16186.0733,13766.168,3.3946,-2416.5107,2419.9053
ingreso_mensual,2182.0551,-215.475,2775.6791,378.1489,3979.9094,1582.3792,2397.5301
anticipacion_compra_promedio,21.1577,0.8066,17.2013,-3.1499,17.4233,-2.9279,20.3512
