,media_c0,delta_c0,media_c1,delta_c1,media_c2,delta_c2,media_poblacional
edad,37.1376,-0.4824,38.8565,1.2366,39.8514,2.2314,37.62
cant_vuelos,11.167,-3.0471,20.2156,6.0015,31.7268,17.5127,14.2141
gasto_acumulado,2751.2325,-1149.5877,5222.9979,1322.1777,12287.4845,8386.6643,3900.8203
cantidad_millas,230.3444,-2189.5609,14672.5121,12252.6068,3.8175,-2416.0879,2419.9053
ingreso_mensual,2188.5037,-209.0265,2727.296,329.7658,3753.6432,1356.1131,2397.5301
anticipacion_compra_promedio,21.3479,0.9967,18.5623,-1.7888,14.2934,-6.0578,20.3512
